                     LANGUAGE   STATUS
---------------------------------------
                 ActionScript   unknown
                          Ada   unknown
                          APL   unknown
                  AppleScript   unknown
                          Arc   unknown
                          Asm   unknown
                          Asp   unknown
                          Awk   unknown
                        Basic   unknown
                        Batch   unknown
                         BETA   unknown
                          Boo   unknown
                    Brainfuck   unknown
                            C   unknown
                           C#   unknown
                          C++   unknown
                   C++ Header   unknown
                      Clojure   unknown
                        COBOL   unknown
                 CoffeeScript   unknown
                  Common Lisp   unknown
                          CSS   unknown
                            D   unknown
                        Dylan   unknown
                       Eiffel   unknown
                       Erlang   unknown
                           F#   unknown
                     F-Script   unknown
                       Factor   unknown
                        Forth   unknown
                      Fortran   unknown
                           Go   unknown
                       Groovy   unknown
                         HAML   unknown
                      Haskell   unknown
                         HTML   unknown
                           Io   unknown
                         Java   unknown
                   JavaScript   unknown
                         JSON   unknown
                        LaTeX   unknown
                        Lemon   unknown
                          Lex   unknown
                          Lua   unknown
                         Make   unknown
                     Markdown   unknown
                      Nemerle   unknown
                           Nu   unknown
                  Objective-C   unknown
                Objective-C++   unknown
                  Objective-J   unknown
                        OCaml   unknown
                           Oz   unknown
                       Pascal   unknown
                         Paws   unknown
                         Perl   unknown
                          PHP   unknown
                         Pike   unknown
                   Plain Text   unknown
                    Plaintext   unknown
                   PostScript   unknown
                       Prolog   unknown
                       Python   unknown
                            R   unknown
                        Ragel   unknown
                         REXX   unknown
                         Ruby   unknown
                         SASS   unknown
                        Scala   unknown
                       Scheme   unknown
                          Sed   unknown
                         Self   unknown
                      self-ml   unknown
                        Shell   unknown
                        SLang   unknown
                    Smalltalk   unknown
                       Smarty   unknown
                          SQL   unknown
                  Standard ML   unknown
                          Tcl   unknown
                          TeX   unknown
                      Textile   unknown
                         Vera   unknown
                      Verilog   unknown
                         VHDL   unknown
                          Vim   unknown
                          XML   unknown
                         XSLT   unknown
                         YACC   unknown
                         YAML   unknown

